"domain","ip_address"
"123-watch.club"," 75.2.115.196"
"123movies4u.watch"," 199.59.243.228"
"123movies123.cc"," 74.63.241.20"
"bejotorrent.co"," 103.224.182.210"
"phimtor.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"yts.uproxy2.info","Addresses:  2606:4700:3031::6815:8fc"
"ridomovies.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"netflix-series.com","Addresses:  2600:3c03::f03c:95ff:feed:4d4f"
"movietorrent.proxybit.work"," 199.59.243.228"
"br.filmesonlinegratisbr.online"," 199.59.243.228"
"www7.123moviesgo.tv","Addresses:  172.233.219.123"
"www6.gomovieshub.io"," 10.14.0.70"
"themoviesflix.io","Addresses:  172.233.219.49"
"solarmovies.mx"," 10.14.0.70"
"limetorrents.unblockninja.com","Addresses:  2606:4700:3033::ac43:c117"
"gomovies4u.xyz"," 216.245.197.46"
"yts.unblockedbay.com","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"filmesonlinehd.app","Addresses:  76.223.54.146"
"xn--2j1bu1hw1oqtkbkb.com"," 10.14.0.70"
"www.torrentonly1.com"," 37.48.65.143"
"topflix.se"," 10.14.0.70"
"roshiya.in"," 15.197.130.221"
"ext.torrentbay.to","Addresses:  2606:4700:3033::6815:939"
"europix.cc","Addresses:  172.237.146.25"
"www2.eprojectfreetv.us","Addresses:  172.233.219.78"
"www1.i123movies.club"," 10.14.0.70"
"www.1-2-3movies.com"," 199.59.243.228"
"skstream.tube"," 10.14.0.70"
"hindilinks4u.pro"," 192.157.56.141"
